Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
6,P0,المسافة من أرامكو الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,أرامكو,البحرين,مسافة,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
7,P0,المسافة من البحرين الى أرامكو بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,أرامكو,مسافة,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
8,P0,المسافة من البحرين الى الخبر بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,الخبر,مسافة,البحرين ← الخبر,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
9,P0,المسافة من البحرين الى الدمام بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,الدمام,مسافة,البحرين ← الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
10,P0,المسافة من البحرين الى الدوحة بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,الدوحة,مسافة,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
11,P0,المسافة من البحرين الى الظهران بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,الظهران,مسافة,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
12,P0,المسافة من البحرين الى مدينة الكويت بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,مدينة الكويت,مسافة,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
13,P0,المسافة من البحرين الى مطار الدمام بالسيارة,AR,Systematic long-tail expansion,Informational,البحرين,مطار الدمام,مسافة,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
14,P0,المسافة من الخبر الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,الخبر,البحرين,مسافة,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
15,P0,المسافة من الدمام الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,الدمام,البحرين,مسافة,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
16,P0,المسافة من الدوحة الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,الدوحة,البحرين,مسافة,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
